cluster,art,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,gaming,health,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,0,0,0,1,8,2,4,1,0,0,1,0,0,1,2,0,0,0,2,4,0,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
2,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
3,0,8,0,1,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1
7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,3,8,0,0,0,0,0,0,0,1,0,0,1,1,0,9,2,0
9,1,0,1,0,10,14,17,1,8,0,0,2,1,2,2,3,1,1,0,26,2,1
