cluster,art,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,gaming,health,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0
10,1,0,1,0,9,14,17,1,7,0,0,2,1,1,2,3,1,1,0,24,2,1
11,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,1,1,0,9,2,0
12,0,7,0,1,2,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
13,0,0,0,1,3,1,3,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,7,4,1,0,2,0,1,0,0,1,1,0,0,0,1,5,0,2
6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
