category,cluster,precision
art,cluster 21,1.0
business,cluster 11,0.3333333333333333
citizen_journalism,cluster 21,1.0
comedy,cluster 1,0.3333333333333333
conferences_and_other_events,cluster 0,0.75
default_category,cluster 21,0.34
documentary,cluster 1,0.16666666666666666
educational,cluster 21,0.3225806451612903
gaming,cluster 5,0.6666666666666666
health,cluster 11,0.5
movies_and_television,cluster 17,0.3888888888888889
music_and_entertainment,cluster 21,0.5
personal_or_auto-biographical,cluster 5,0.5
politics,cluster 4,0.5
religion,cluster 5,0.4166666666666667
school_and_education,cluster 15,1.0
technology,cluster 5,0.2857142857142857
the_environment,cluster 4,1.0
the_mainstream_media,cluster 8,0.5
travel,cluster 5,0.5
videoblogging,cluster 8,0.4
web_development_and_sites,cluster 0,0.5
