category,cluster,precision
art,cluster 3,1.0
business,cluster 6,0.3333333333333333
citizen_journalism,cluster 3,1.0
comedy,cluster 3,0.3333333333333333
conferences_and_other_events,cluster 25,0.5
default_category,cluster 15,0.2
documentary,cluster 5,0.16666666666666666
educational,cluster 11,0.12903225806451613
gaming,cluster 13,0.3333333333333333
health,cluster 24,0.5
movies_and_television,cluster 14,0.2222222222222222
music_and_entertainment,cluster 13,0.3
personal_or_auto-biographical,cluster 11,0.25
politics,cluster 34,0.5
religion,cluster 3,0.4583333333333333
school_and_education,cluster 3,1.0
technology,cluster 3,0.25
the_environment,cluster 16,1.0
the_mainstream_media,cluster 3,0.5
travel,cluster 15,0.5
videoblogging,cluster 1,0.4
web_development_and_sites,cluster 11,0.5
