category,cluster,precision
art,cluster 17,1.0
business,cluster 9,0.3333333333333333
citizen_journalism,cluster 18,1.0
comedy,cluster 27,0.3333333333333333
conferences_and_other_events,cluster 15,0.5
default_category,cluster 42,0.16
documentary,cluster 5,0.16666666666666666
educational,cluster 42,0.16129032258064516
gaming,cluster 4,0.3333333333333333
health,cluster 17,0.5
movies_and_television,cluster 28,0.2222222222222222
music_and_entertainment,cluster 7,0.2
personal_or_auto-biographical,cluster 7,0.25
politics,cluster 9,0.5
religion,cluster 38,0.20833333333333334
school_and_education,cluster 11,1.0
technology,cluster 38,0.17857142857142858
the_environment,cluster 11,1.0
the_mainstream_media,cluster 7,0.5
travel,cluster 5,0.5
videoblogging,cluster 7,0.4
web_development_and_sites,cluster 42,0.5
