category,cluster,precision
art,cluster 0,0.8880597014925373
autos_and_vehicles,cluster 0,1.0
business,cluster 0,0.7558139534883721
citizen_journalism,cluster 0,0.8244274809160306
comedy,cluster 0,0.8767123287671232
conferences_and_other_events,cluster 0,0.8378378378378378
default_category,cluster 0,0.7364457831325302
documentary,cluster 0,0.6422018348623854
educational,cluster 0,0.7871621621621622
food_and_drink,cluster 0,0.9230769230769231
gaming,cluster 0,0.7454545454545455
health,cluster 0,0.9204545454545454
literature,cluster 0,0.7469879518072289
movies_and_television,cluster 0,0.8786764705882353
music_and_entertainment,cluster 0,0.7267080745341615
personal_or_auto-biographical,cluster 0,0.803921568627451
politics,cluster 0,0.8890756302521008
religion,cluster 0,0.8745247148288974
school_and_education,cluster 0,0.9245283018867925
sports,cluster 0,0.8542713567839196
technology,cluster 0,0.8181818181818182
the_environment,cluster 0,0.6530612244897959
the_mainstream_media,cluster 0,0.797752808988764
travel,cluster 0,0.8
videoblogging,cluster 0,0.6831275720164609
web_development_and_sites,cluster 0,0.868421052631579
