cluster,category,score
cluster10,citizen_journalism,0.2914572864321608
cluster11,travel,1.0
cluster12,citizen_journalism,0.6046511627906976
cluster39,travel,0.15384615384615385
cluster14,health,0.625
cluster15,food_and_drink,0.22611464968152867
cluster16,gaming,0.14736842105263157
cluster17,citizen_journalism,0.15625
cluster32,citizen_journalism,0.16666666666666666
cluster19,conferences_and_other_events,0.1870967741935484
cluster30,travel,0.2375
cluster31,videoblogging,0.1935483870967742
cluster36,travel,0.25190839694656486
cluster37,autos_and_vehicles,0.20987654320987653
cluster34,food_and_drink,0.18681318681318682
cluster35,travel,0.22857142857142856
cluster38,autos_and_vehicles,0.22950819672131148
cluster13,travel,0.28169014084507044
cluster43,travel,0.20754716981132076
cluster42,travel,0.16981132075471697
cluster41,travel,0.21621621621621623
cluster40,citizen_journalism,0.16666666666666666
cluster44,default_category,0.15441176470588236
cluster29,citizen_journalism,0.3523809523809524
cluster28,conferences_and_other_events,0.18226600985221675
cluster21,travel,0.2
cluster20,travel,0.15584415584415584
cluster23,travel,0.17647058823529413
cluster22,citizen_journalism,0.25757575757575757
cluster25,travel,0.19718309859154928
cluster24,autos_and_vehicles,0.27472527472527475
cluster27,default_category,0.25210084033613445
cluster26,citizen_journalism,0.6702127659574468
cluster18,travel,0.1951219512195122
cluster8,citizen_journalism,0.25833333333333336
cluster9,travel,0.15
cluster33,travel,0.14634146341463414
cluster2,citizen_journalism,0.2872340425531915
cluster3,travel,0.22413793103448276
cluster0,citizen_journalism,0.5950413223140496
cluster1,food_and_drink,0.35514018691588783
cluster6,food_and_drink,0.4375
cluster7,travel,0.2
cluster4,food_and_drink,0.375
cluster5,conferences_and_other_events,0.18719211822660098
