cluster,category,score
cluster10,food_and_drink,0.20982142857142858
cluster11,religion,0.6666666666666666
cluster12,health,0.19430051813471502
cluster13,travel,1.0
cluster14,gaming,0.3333333333333333
cluster15,citizen_journalism,0.2964705882352941
cluster16,travel,0.1864406779661017
cluster17,travel,0.15625
cluster18,food_and_drink,0.1588785046728972
cluster19,health,0.1686182669789227
cluster21,citizen_journalism,0.3395061728395062
cluster20,travel,0.1781609195402299
cluster23,food_and_drink,0.2127659574468085
cluster22,travel,0.20224719101123595
cluster25,comedy,0.16666666666666666
cluster24,conferences_and_other_events,0.2408026755852843
cluster8,travel,0.152
cluster9,travel,0.14285714285714285
cluster2,travel,1.0
cluster3,conferences_and_other_events,1.0
cluster0,default_category,0.1487964989059081
cluster1,autos_and_vehicles,0.12
cluster6,citizen_journalism,0.4765957446808511
cluster7,autos_and_vehicles,0.25
cluster4,food_and_drink,0.18518518518518517
cluster5,autos_and_vehicles,0.15562913907284767
