cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster12,5,5,0,2,3,2,0,0,1,10,4,3,1,0,1,2,0,5,1,1,1,0,8,10,5,6
cluster13,7,24,1,109,15,37,17,2,3,4,0,5,4,8,1,6,3,2,2,2,9,1,6,34,8,5
cluster14,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster15,1,1,2,128,3,13,6,0,0,2,0,0,0,26,0,0,1,0,23,7,2,0,0,36,6,3
cluster16,13,18,1,9,14,2,7,0,1,9,0,0,5,9,1,6,1,7,0,2,2,0,9,29,11,5
cluster17,12,12,1,0,6,16,14,1,10,61,3,17,4,1,11,8,8,11,3,2,5,0,1,30,15,9
cluster18,8,15,0,9,8,4,3,2,3,14,1,2,9,1,2,6,0,6,0,1,0,0,11,14,2,3
cluster19,8,12,6,45,16,79,59,13,1,9,0,69,8,14,3,6,8,3,14,16,12,1,3,65,16,7
cluster21,6,3,1,3,24,27,30,3,5,45,2,39,1,4,15,7,14,2,2,7,5,0,2,69,29,8
cluster20,6,8,0,2,7,0,0,0,3,13,1,0,5,1,2,3,1,4,0,0,1,0,3,16,2,10
cluster23,9,14,1,3,11,11,4,1,5,30,4,3,0,1,3,5,1,13,2,1,3,0,10,24,27,8
cluster22,5,35,2,27,11,15,15,3,2,20,2,2,12,8,1,6,3,5,0,5,3,0,8,34,26,4
cluster25,3,4,2,43,6,5,3,1,0,2,0,0,0,0,1,1,2,0,17,1,0,0,1,21,6,4
cluster24,12,11,6,92,6,72,29,5,1,7,1,20,6,6,2,2,3,5,8,6,21,0,5,38,9,4
cluster8,5,14,0,7,16,6,9,3,0,29,2,4,3,1,2,3,2,6,3,0,1,1,7,42,20,5
cluster9,5,8,1,0,0,0,3,0,0,13,1,2,1,1,1,0,0,3,0,0,0,0,9,7,5,2
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
cluster0,4,20,7,22,13,85,66,15,2,11,21,90,7,20,3,5,19,6,7,29,16,0,38,85,20,5
cluster1,8,6,1,0,8,1,8,0,4,16,0,1,9,4,0,2,1,8,0,0,0,0,7,21,11,5
cluster6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster7,9,20,1,21,14,9,7,3,6,17,1,1,8,19,1,6,2,13,0,4,2,1,6,40,10,12
cluster4,4,36,3,70,14,15,12,1,3,3,2,1,4,5,1,4,4,4,1,1,4,3,7,35,11,2
cluster5,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,2,6,2,1
