cluster,category,score
cluster10,citizen_journalism,0.47360557768924305
cluster11,travel,0.13095835423983943
cluster12,citizen_journalism,0.14257716805487505
cluster39,art,0.17210093563935355
cluster14,travel,0.18841911764705882
cluster15,citizen_journalism,0.15263476680799515
cluster16,citizen_journalism,0.2224824355971897
cluster17,autos_and_vehicles,0.1774891774891775
cluster32,autos_and_vehicles,0.14629017723039953
cluster33,travel,0.18384879725085912
cluster30,default_category,0.1859596713965646
cluster31,autos_and_vehicles,0.2213459516298633
cluster36,citizen_journalism,0.31852258182483084
cluster37,citizen_journalism,0.14994363021420518
cluster34,citizen_journalism,0.41562853907134767
cluster35,citizen_journalism,0.2079806529625151
cluster38,citizen_journalism,0.6378198866966205
cluster13,health,0.2895769733972961
cluster29,travel,0.13538062283737023
cluster28,default_category,0.19733185102834908
cluster21,autos_and_vehicles,0.22088835534213686
cluster20,citizen_journalism,0.37543632837750485
cluster23,food_and_drink,0.23595505617977527
cluster22,conferences_and_other_events,0.2698176404912542
cluster25,health,0.3543859649122807
cluster24,autos_and_vehicles,0.17440758293838862
cluster27,travel,0.156401384083045
cluster26,autos_and_vehicles,0.16262705238467554
cluster18,conferences_and_other_events,0.17772692601067888
cluster8,travel,0.12763960581886438
cluster9,food_and_drink,0.18837906386903389
cluster19,default_category,0.2939666238767651
cluster2,autos_and_vehicles,0.19239457831325302
cluster3,conferences_and_other_events,0.1783172875680201
cluster0,autos_and_vehicles,0.32850430696945965
cluster1,citizen_journalism,0.26685833768949296
cluster6,citizen_journalism,0.1796759941089838
cluster7,citizen_journalism,0.5085978835978836
cluster4,citizen_journalism,0.6611677881484698
cluster5,citizen_journalism,0.20394960844399046
