cluster,category,score
cluster10,travel,0.1891891891891892
cluster11,food_and_drink,0.24972375690607734
cluster38,citizen_journalism,0.30134680134680136
cluster39,conferences_and_other_events,0.164257555847569
cluster14,autos_and_vehicles,0.18370165745856354
cluster15,citizen_journalism,0.14594594594594595
cluster16,autos_and_vehicles,0.2249173098125689
cluster17,health,0.33073856085057907
cluster32,travel,0.1598864711447493
cluster19,gaming,0.34719596723377444
cluster30,autos_and_vehicles,0.23155216284987276
cluster31,citizen_journalism,0.3799392097264438
cluster36,travel,0.14985250737463127
cluster37,travel,0.15737051792828685
cluster34,autos_and_vehicles,0.1706244503078276
cluster35,movies_and_television,0.17110266159695817
cluster12,travel,0.20308483290488433
cluster13,citizen_journalism,0.18207480592801695
cluster29,travel,0.14526315789473684
cluster28,citizen_journalism,0.20476190476190476
cluster21,autos_and_vehicles,0.23443983402489627
cluster20,autos_and_vehicles,0.16304347826086957
cluster23,autos_and_vehicles,0.3522083805209513
cluster22,comedy,0.26666666666666666
cluster25,citizen_journalism,0.42128505188783394
cluster24,autos_and_vehicles,0.16031746031746033
cluster27,citizen_journalism,0.32802308078273956
cluster26,travel,0.18635170603674542
cluster18,conferences_and_other_events,0.24108761329305137
cluster8,travel,0.14750121300339641
cluster9,travel,0.1306005719733079
cluster33,citizen_journalism,0.14612868047982552
cluster2,citizen_journalism,0.5537043207819615
cluster3,citizen_journalism,0.4652387640449438
cluster0,citizen_journalism,0.5550345508390918
cluster1,health,0.17261904761904762
cluster6,conferences_and_other_events,0.15312093628088427
cluster7,autos_and_vehicles,0.17069109075770192
cluster4,citizen_journalism,0.21516273630871174
cluster5,autos_and_vehicles,0.16296571587847256
