cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,10,15,0,1,10,9,7,1,7,47,2,8,1,2,8,4,5,12,1,2,5,0,5,29,25,8
cluster11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cluster12,6,14,3,16,8,46,33,3,0,13,7,75,1,4,2,3,15,3,14,19,12,0,13,63,12,1
cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster14,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
cluster15,11,19,4,126,17,38,21,5,2,7,2,8,7,6,3,8,6,5,17,4,14,2,7,59,17,10
cluster16,11,5,0,1,25,24,20,2,7,64,3,33,3,3,18,6,10,4,2,8,5,0,0,66,25,9
cluster17,8,7,1,2,9,1,8,1,4,18,0,1,9,4,0,2,1,8,0,0,0,0,8,20,11,5
cluster18,9,31,1,1,10,10,3,1,5,34,3,3,0,0,3,4,2,13,3,1,4,0,9,28,27,9
cluster19,7,16,2,46,13,52,23,5,1,15,0,72,8,14,1,10,11,3,14,9,17,0,4,59,15,10
cluster21,7,22,3,110,22,34,20,1,4,5,1,3,5,11,0,3,3,1,1,1,7,3,8,39,8,2
cluster20,12,18,1,11,16,3,8,0,2,9,0,0,5,9,1,7,1,8,0,1,2,0,9,31,13,7
cluster23,5,7,1,0,2,0,2,0,0,10,1,1,0,0,1,0,0,0,0,1,0,0,7,4,3,2
cluster22,6,8,0,2,7,0,0,0,3,13,1,0,5,1,2,3,1,4,0,0,1,0,3,18,2,9
cluster25,2,1,0,0,4,1,2,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,2,4,2,0
cluster24,4,2,9,55,8,72,44,10,0,4,0,11,5,1,2,1,0,2,5,6,8,1,3,39,6,1
cluster8,9,23,1,25,11,8,9,4,5,19,1,2,10,20,2,6,3,12,0,6,2,1,9,38,13,11
cluster9,4,5,0,2,1,2,0,0,1,8,4,3,1,0,1,2,0,5,1,0,1,0,7,10,5,7
cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cluster3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster0,3,8,7,37,11,66,68,16,3,10,15,33,6,25,4,4,10,6,0,16,4,0,27,53,19,6
cluster1,10,15,0,7,8,4,3,1,3,13,1,2,10,1,2,6,0,6,0,2,0,0,10,15,3,3
cluster6,1,3,1,112,2,12,4,0,0,1,0,2,0,20,0,1,2,0,24,6,2,0,0,33,6,3
cluster7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
cluster4,1,1,0,0,0,0,1,0,0,5,0,1,1,1,0,0,0,5,0,0,0,0,3,5,2,1
cluster5,6,47,2,38,15,18,18,3,3,20,4,1,10,7,1,8,3,8,1,3,3,0,9,43,27,4
