cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster20,128,67,6,95,32,80,115,6,9,10,8,8,8,12,0,11,7,50,0,1,9,0,32,128,19,18
cluster23,13,21,16,222,22,112,71,1,1,10,3,89,48,53,5,2,71,28,0,15,16,0,36,106,7,9
cluster71,37,468,2,38,30,20,58,7,18,67,1,29,58,35,1,0,35,24,0,15,11,0,16,72,42,41
cluster25,39,74,4,32,53,77,61,8,4,132,1,33,10,28,25,1,21,60,0,17,23,0,29,152,70,67
cluster68,9,32,4,0,25,35,17,3,10,102,3,6,0,1,11,10,4,40,0,3,9,0,12,95,23,13
cluster27,14,37,6,195,61,67,78,1,31,26,1,44,34,7,5,2,12,114,56,29,3,0,16,110,77,45
cluster26,56,123,0,81,15,11,12,6,14,91,0,23,2,30,0,3,2,5,0,0,30,0,29,51,27,28
cluster32,17,25,4,13,32,15,5,0,13,46,1,2,0,31,4,10,0,78,38,4,2,0,40,118,66,10
cluster8,46,64,7,2153,283,33,63,0,14,3,11,7,286,34,2,74,30,21,7,61,15,6,87,237,59,36
cluster9,14,112,5,44,49,36,17,6,6,38,2,20,6,10,1,10,14,18,0,6,3,0,27,43,22,23
cluster76,18,37,3,41,40,28,48,4,17,38,33,14,6,7,5,34,2,21,0,8,6,1,43,66,28,9
cluster19,83,71,1,137,23,84,18,0,1,25,13,5,56,134,0,6,13,8,0,3,22,0,24,67,23,56
cluster2,216,198,16,626,57,137,150,12,2,61,1,196,39,147,8,11,46,135,2,7,28,0,49,274,18,130
cluster70,116,104,12,918,30,223,93,5,2,154,0,572,19,170,1,3,62,51,2,13,37,0,28,288,13,123
cluster0,26,29,10,1010,83,139,111,5,5,21,6,7,383,17,8,18,9,2,0,29,85,11,61,178,34,2
cluster1,651,528,17,139,251,104,73,76,44,363,7,182,40,48,2,12,18,76,0,14,29,0,189,519,114,185
cluster6,44,155,5,301,52,252,62,4,3,24,4,100,15,167,3,4,49,32,3,11,104,0,27,173,17,21
cluster7,1,39,0,59,63,11,10,0,0,19,0,0,0,4,1,0,15,7,23,5,12,0,32,58,37,21
cluster4,11,41,2,9,27,12,10,0,10,31,3,3,0,7,3,8,0,26,26,5,0,0,42,101,39,22
cluster5,10,23,0,97,9,17,21,0,1,55,537,2,0,27,0,13,3,19,0,4,7,0,45,65,22,13
